data,blur,noise,method,image_index,rel_primal_error_K,oracle_K
real,train,train,Condat-Vu/PDHG,52,0.00017943157581612468,3999
real,train,train,Condat-Vu/PDHG,53,0.0004603075503837317,3999
real,train,train,Condat-Vu/PDHG,54,4.0109767724061385e-05,3999
real,train,train,Condat-Vu/PDHG,55,0.0001569569285493344,3999
real,train,train,Condat-Vu/PDHG,56,7.048204861348495e-05,3999
real,train,train,Condat-Vu/PDHG,57,0.00014550518244504929,3999
real,train,train,Condat-Vu/PDHG,58,0.00011220596934435889,3999
real,train,train,Condat-Vu/PDHG,59,5.199138468015008e-05,3999
real,train,train,Condat-Vu/PDHG,60,0.0001269063213840127,3999
real,train,train,Condat-Vu/PDHG,61,5.3478059271583334e-05,3999
real,train,train,Condat-Vu/PDHG,62,0.00037420718581415713,3999
real,train,train,Condat-Vu/PDHG,63,3.872822708217427e-05,3999
