method,instance,rel_error,merit
FRB,2,0.5177268981933594,0.10608391463756561
FRB,3,0.4948655962944031,0.17260867357254028
FRB,4,0.5255637764930725,0.10105693340301514
FRB,5,0.5052893757820129,0.1384958028793335
FRB,6,0.4979008734226227,0.10670695453882217
FRB,7,0.5028666257858276,0.12164229899644852
FRB,8,0.5024250149726868,0.1008419319987297
FRB,9,0.5159932971000671,0.11731820553541183
FRB,10,0.5218135714530945,0.10398885607719421
FRB,11,0.5044541358947754,0.15832723677158356
FRB,12,0.48673999309539795,0.14349299669265747
FRB,13,0.4956006705760956,0.12922103703022003
FRB,14,0.5223773121833801,0.11543424427509308
FRB,15,0.4931393265724182,0.1144920140504837
FRB,16,0.5285062789916992,0.1432778239250183
FRB,17,0.49716800451278687,0.18092195689678192
FRB,18,0.527713418006897,0.09624961018562317
FRB,19,0.5328702926635742,0.11215779930353165
FRB,20,0.5024376511573792,0.11848808825016022
FRB,21,0.5052387714385986,0.11693158000707626
FRB,22,0.5161179900169373,0.15297845005989075
FRB,23,0.5166817307472229,0.12090356647968292
FRB,24,0.5094111561775208,0.12173457443714142
FRB,25,0.5223129987716675,0.1482805460691452
FRB,26,0.510810911655426,0.12762828171253204
FRB,27,0.517680287361145,0.16264912486076355
FRB,28,0.5162158012390137,0.12433118373155594
FRB,29,0.5381314158439636,0.12278914451599121
FRB,30,0.4917394518852234,0.142263725399971
FRB,31,0.5082372426986694,0.10811836272478104
FRB,32,0.5153696537017822,0.11981064081192017
FRB,33,0.50368732213974,0.14609286189079285
FRB,34,0.5150671005249023,0.12412553280591965
FRB,35,0.5253841280937195,0.11782451719045639
FRB,36,0.5045447945594788,0.14196497201919556
FRB,37,0.5272623300552368,0.1691858023405075
FRB,38,0.5203713178634644,0.12030208855867386
FRB,39,0.509725034236908,0.1217704564332962
FRB,40,0.4969468116760254,0.12856049835681915
FRB,41,0.5090569257736206,0.10700155049562454
FRB,42,0.5056236982345581,0.11470812559127808
FRB,43,0.5041186213493347,0.12291350960731506
FRB,44,0.5099753737449646,0.1432301104068756
FRB,45,0.5209023952484131,0.1435067504644394
FRB,46,0.4910529851913452,0.12027671933174133
FRB,47,0.48918116092681885,0.14561967551708221
FRB,48,0.5224023461341858,0.09584703296422958
FRB,49,0.5171418190002441,0.12173842638731003
FRB,50,0.49869680404663086,0.17124344408512115
FRB,51,0.5167713165283203,0.11505947262048721
FRB,52,0.5281808972358704,0.1259462535381317
FRB,53,0.5239615440368652,0.1373465657234192
FRB,54,0.5157397389411926,0.1427587866783142
FRB,55,0.48504647612571716,0.16034303605556488
FRB,56,0.5009320378303528,0.14627748727798462
FRB,57,0.5035293698310852,0.11667432636022568
FRB,58,0.5258699655532837,0.12802207469940186
FRB,59,0.5235956311225891,0.10052800178527832
FRB,60,0.5246354937553406,0.10976065695285797
FRB,61,0.5149952173233032,0.09818340837955475
FRB,62,0.5235297679901123,0.13018344342708588
FRB,63,0.5234047174453735,0.13039205968379974
learned-warped-FBHF,0,0.027717450633645058,0.004451643209904432
learned-warped-FBHF,1,0.02763967216014862,0.0038337395526468754
learned-warped-FBHF,2,0.03175175562500954,0.004501329734921455
learned-warped-FBHF,3,0.027127204462885857,0.006621409207582474
learned-warped-FBHF,4,0.03087298385798931,0.004503702279180288
learned-warped-FBHF,5,0.028015604242682457,0.004984364844858646
learned-warped-FBHF,6,0.026855532079935074,0.0039831046015024185
learned-warped-FBHF,7,0.02747052162885666,0.004466107580810785
learned-warped-FBHF,8,0.029220346361398697,0.00393570214509964
learned-warped-FBHF,9,0.029693275690078735,0.0041894507594406605
learned-warped-FBHF,10,0.02965078316628933,0.004636912140995264
learned-warped-FBHF,11,0.02743561752140522,0.005308703985065222
learned-warped-FBHF,12,0.02809002995491028,0.004006280098110437
learned-warped-FBHF,13,0.026620611548423767,0.004277595318853855
learned-warped-FBHF,14,0.03056490235030651,0.005035292822867632
learned-warped-FBHF,15,0.027402102947235107,0.0038493676111102104
learned-warped-FBHF,16,0.032945577055215836,0.0074575855396687984
learned-warped-FBHF,17,0.027257094159722328,0.005475877784192562
learned-warped-FBHF,18,0.030373431742191315,0.004113511182367802
learned-warped-FBHF,19,0.03311528265476227,0.005364663433283567
learned-warped-FBHF,20,0.028574399650096893,0.004538854584097862
learned-warped-FBHF,21,0.02882876619696617,0.004498024471104145
learned-warped-FBHF,22,0.02644910104572773,0.005967092700302601
learned-warped-FBHF,23,0.03096965327858925,0.004846570082008839
learned-warped-FBHF,24,0.029928717762231827,0.0044886390678584576
learned-warped-FBHF,25,0.029354754835367203,0.006031170021742582
learned-warped-FBHF,26,0.030224839225411415,0.0044676982797682285
learned-warped-FBHF,27,0.031401582062244415,0.005713328253477812
learned-warped-FBHF,28,0.030837062746286392,0.00534687889739871
learned-warped-FBHF,29,0.033300578594207764,0.006622593384236097
learned-warped-FBHF,30,0.0283241868019104,0.0045962403528392315
learned-warped-FBHF,31,0.030495256185531616,0.0041838898323476315
learned-warped-FBHF,32,0.029313527047634125,0.004535618703812361
learned-warped-FBHF,33,0.029280684888362885,0.005113769788295031
learned-warped-FBHF,34,0.030933331698179245,0.00537544721737504
learned-warped-FBHF,35,0.03132772445678711,0.005091220140457153
learned-warped-FBHF,36,0.028944959864020348,0.005302224308252335
learned-warped-FBHF,37,0.027697117999196053,0.0070420559495687485
learned-warped-FBHF,38,0.031633347272872925,0.0048780255019664764
learned-warped-FBHF,39,0.02795535698533058,0.005286816041916609
learned-warped-FBHF,40,0.027164069935679436,0.004558087792247534
learned-warped-FBHF,41,0.02988825924694538,0.004317507613450289
