data,blur,noise,c,method,image_index,oracle_K,rel_primal_error_K
real,train,train,0.5,Condat-Vu/PDHG,49,3999,2.486356970621273e-05
real,train,train,0.5,Condat-Vu/PDHG,50,3999,7.95658488641493e-05
real,train,train,0.5,Condat-Vu/PDHG,51,3999,5.821538434247486e-05
real,train,train,0.5,Condat-Vu/PDHG,52,3999,6.491179374279454e-05
real,train,train,0.5,Condat-Vu/PDHG,53,3999,4.135742346988991e-05
real,train,train,0.5,Condat-Vu/PDHG,54,3999,2.773849519144278e-05
real,train,train,0.5,Condat-Vu/PDHG,55,3999,0.00012526287173386663
real,train,train,0.5,Condat-Vu/PDHG,56,3999,4.481056748772971e-05
real,train,train,0.5,Condat-Vu/PDHG,57,3999,7.881972851464525e-05
real,train,train,0.5,Condat-Vu/PDHG,58,3999,7.71005725255236e-05
real,train,train,0.5,Condat-Vu/PDHG,59,3999,3.6942499718861654e-05
real,train,train,0.5,Condat-Vu/PDHG,60,3999,9.72438501776196e-05
real,train,train,0.5,Condat-Vu/PDHG,61,3999,3.552719499566592e-05
