data,blur,noise,mode,c,method,image_index,oracle_K,network_forward_K,backtracks_K,rel_primal_error_K
real,motion,high,bv,0.5,fixed-precond,50,4000,0,0,0.11379390954971313
real,motion,high,bv,0.5,fixed-precond,51,4000,0,0,0.00018832094792742282
real,motion,high,bv,0.5,fixed-precond,52,4000,0,0,0.00012634483573492616
real,motion,high,bv,0.5,fixed-precond,53,4000,0,0,0.00012527524086181074
real,motion,high,bv,0.5,fixed-precond,54,4000,0,0,0.02317946031689644
real,motion,high,bv,0.5,fixed-precond,55,4000,0,0,9.180900815408677e-05
real,motion,high,bv,0.5,fixed-precond,56,4000,0,0,0.1900591105222702
real,motion,high,bv,0.5,fixed-precond,57,4000,0,0,0.00011335100134601817
real,motion,high,bv,0.5,fixed-precond,58,4000,0,0,0.0001022936194203794
real,motion,high,bv,0.5,fixed-precond,59,4000,0,0,0.00010910606943070889
real,motion,high,bv,0.5,fixed-precond,60,4000,0,0,0.10807541757822037
real,motion,high,bv,0.5,fixed-precond,61,4000,0,0,7.910464773885906e-05
real,motion,high,bv,0.5,fixed-precond,62,4000,0,0,0.00010721039143390954
real,motion,high,bv,0.5,fixed-precond,63,4000,0,0,8.586587500758469e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,0,4000,1000,0,4.8359470383729786e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,1,4000,1000,0,6.843901792308316e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,2,4000,1000,0,5.940888149780221e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,3,4000,1000,0,3.256169657106511e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,4,4000,1000,0,5.051149855717085e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,5,4000,1000,0,4.6926477807573974e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,6,4000,1000,0,8.225280180340633e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,7,4000,1000,0,0.00011079639807576314
real,motion,high,bv,0.5,learned-warped-bv-c0.5,8,4000,1000,0,8.06535899755545e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,9,4000,1000,0,6.056295387679711e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,10,4000,1000,0,4.2760839278344065e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,11,4000,1000,0,6.867461343063042e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,12,4000,1000,0,5.603757381322794e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,13,4000,1000,0,0.00014943779387976974
real,motion,high,bv,0.5,learned-warped-bv-c0.5,14,4000,1000,0,0.00012673904711846262
real,motion,high,bv,0.5,learned-warped-bv-c0.5,15,4000,1000,0,6.874027167214081e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,16,4000,1000,0,6.943154585314915e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,17,4000,1000,0,4.7027224354678765e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,18,4000,1000,0,4.891450225841254e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,19,4000,1000,0,0.00011674464622046798
real,motion,high,bv,0.5,learned-warped-bv-c0.5,20,4000,1000,0,7.834970892872661e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,21,4000,1000,0,7.463053043466061e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,22,4000,1000,0,5.624457844533026e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,23,4000,1000,0,0.00017472667968831956
real,motion,high,bv,0.5,learned-warped-bv-c0.5,24,4000,1000,0,7.480366184609011e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,25,4000,1000,0,8.386917761527002e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,26,4000,1000,0,6.447954365285113e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,27,4000,1000,0,4.6626799303339794e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,28,4000,1000,0,0.00011414535401854664
real,motion,high,bv,0.5,learned-warped-bv-c0.5,29,4000,1000,0,6.581129127880558e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,30,4000,1000,0,4.2293053411412984e-05
real,motion,high,bv,0.5,learned-warped-bv-c0.5,31,4000,1000,0,9.763056732481346e-05
