data,blur,noise,image_index,ref_self_gap_50k_100k,old_fbhf4000_gap_to_ref,last_pdhg_rel_step,fixed_minus_learned_absdiff,fixed_better_than_learned,learned_better_than_fixed,cv_better_than_learned,ref_steps,ref_time_s
real,train,high,1,6.298510584201722e-07,0.00033803406404331326,7.803146218066104e-08,3.5769990063272417e-05,0,1,0,100000,78.57662151753902
real,train,high,2,9.245267733604123e-07,2.1284182366798632e-05,4.76135042504211e-08,5.852677713846788e-05,0,1,1,100000,78.57662151753902
real,train,high,3,1.0635544640535954e-06,3.359807305969298e-05,5.0406057994223374e-08,2.121571742463857e-05,0,1,1,100000,78.57662151753902
real,train,high,4,7.26190364730428e-07,1.509228241047822e-05,9.265948364145515e-08,3.972793274442665e-05,0,1,1,100000,78.57662151753902
real,train,high,5,1.2084775562470895e-06,0.0001084280593204312,4.9829861126227115e-08,8.187295316020027e-05,0,1,1,100000,78.57662151753902
real,train,high,6,1.45033720855281e-06,4.593944322550669e-05,6.077811320892579e-08,0.00015005974273663014,0,1,1,100000,78.57662151753902
real,train,high,7,8.478776862830273e-07,9.745437273522839e-05,6.166536081764207e-08,0.00010317267151549459,0,1,1,100000,78.57662151753902
real,train,high,8,1.2276203733563307e-06,2.4686802134965546e-05,6.136554731028809e-08,6.128378299763426e-05,0,1,1,100000,78.57662151753902
real,train,high,9,1.3300241334945895e-06,4.023276051157154e-05,4.55371456098419e-08,6.864665192551911e-05,0,1,1,100000,78.57662151753902
real,train,high,10,9.590247600499424e-07,1.9770970538957044e-05,7.211671260165531e-08,7.863926293794066e-05,0,1,1,100000,78.57662151753902
real,train,high,11,1.0305686828360194e-06,3.5060580557910725e-05,6.659055884483678e-08,6.22395018581301e-05,0,1,1,100000,78.57662151753902
real,train,high,12,9.594920129529783e-07,0.00010618445230647922,4.781188422953164e-08,0.00011153933883178979,0,1,1,100000,78.57662151753902
real,train,high,13,1.0920376780632068e-06,0.00010715769167291,4.4070464610967974e-08,2.700751065276563e-05,0,1,1,100000,78.57662151753902
real,train,high,14,1.3175177855373477e-06,4.5792949094902724e-05,5.961974380852553e-08,0.00017363748338539153,0,1,1,100000,78.57662151753902
real,train,high,15,4.87166346374579e-07,1.5191563761618454e-05,1.0169949860028282e-07,3.10300565615762e-05,0,1,1,100000,78.57662151753902
real,train,high,16,1.050397827384586e-06,0.0005612435634247959,4.3970061369691393e-08,7.3714181780815125e-06,1,0,1,100000,78.57662151753902
real,train,high,17,9.223684855896863e-07,1.8392362107988447e-05,7.438296734108008e-08,7.705279858782887e-05,0,1,1,100000,78.57662151753902
real,train,high,18,1.1279979617029312e-06,4.1831655835267156e-05,6.683004727392472e-08,6.250742444535717e-05,0,1,1,100000,78.57662151753902
real,train,high,19,7.005625093370327e-07,0.0014532165369018912,7.16203771844448e-08,0.00016439642058685422,0,1,0,100000,78.57662151753902
real,train,high,20,5.400518148235278e-07,1.6753556337789632e-05,5.6577679430347416e-08,7.429306424455717e-05,0,1,1,100000,78.57662151753902
real,train,high,21,8.307804364449112e-07,0.0001010709092952311,7.224477371892135e-08,6.432816007873043e-05,0,1,0,100000,78.57662151753902
real,train,high,22,1.9540068478818284e-06,0.00011716401058947667,4.8720565359872126e-08,6.009466596879065e-05,0,1,1,100000,78.57662151753902
real,train,high,23,7.14127565970557e-07,2.7676445824909024e-05,5.439209616042717e-08,7.462510257028043e-05,0,1,1,100000,78.57662151753902
real,train,high,24,2.0501054223132087e-06,0.0004792556574102491,1.384176329111142e-07,0.00029999332036823034,1,0,1,100000,78.57662151753902
real,train,high,25,7.316168080251373e-07,7.505299436161295e-05,6.967681542846549e-08,4.44504403276369e-05,0,1,1,100000,78.57662151753902
real,train,high,26,2.1443856894620694e-06,0.00033568908111192286,5.062349828222068e-08,0.00014233504771254957,0,1,0,100000,78.57662151753902
real,train,high,27,9.519841910332616e-07,2.660552490851842e-05,4.385021057373706e-08,0.00018543291662354022,0,1,1,100000,78.57662151753902
real,train,high,28,3.2681552966096206e-06,7.562863174825907e-05,3.915807056387166e-08,0.0003308215964352712,0,1,1,100000,78.57662151753902
real,train,high,29,2.3189998046291294e-06,0.0003081012691836804,4.7650221546291505e-08,0.00028565130196511745,0,1,1,100000,78.57662151753902
real,train,high,30,7.520964686591469e-07,3.887121783918701e-05,6.612164327179926e-08,8.42898225528188e-05,0,1,1,100000,78.57662151753902
real,train,high,31,1.1708026477208477e-06,2.8306511012488045e-05,7.411188818196024e-08,0.00010813310655066743,0,1,1,100000,78.57662151753902
real,train,high,32,2.9746161089860834e-07,1.043211068463279e-05,4.467294445476e-08,0.00010806726641021669,0,1,1,100000,78.57662151753902
real,train,high,33,8.211400768232124e-07,2.3192322260001674e-05,6.459620749410533e-08,5.361239891499281e-05,0,1,1,100000,78.57662151753902
real,train,high,34,1.3008717587581486e-06,3.836983523797244e-05,6.790580897586551e-08,3.657644265331328e-05,0,1,1,100000,78.57662151753902
real,train,high,35,6.708962700940901e-07,1.7712971384753473e-05,9.767684616690531e-08,6.0068203310947865e-05,0,1,1,100000,78.57662151753902
real,train,high,36,1.289428723794117e-06,4.932115552946925e-05,6.721429457456907e-08,0.0001877715258160606,0,1,1,100000,78.57662151753902
real,train,high,37,2.108055014105048e-06,3.539664612617344e-05,4.329091751742453e-08,0.00011388491839170456,0,1,1,100000,78.57662151753902
real,train,high,38,6.776267014174664e-07,0.00021517177810892463,7.876972318854314e-08,4.88717487314716e-05,0,1,0,100000,78.57662151753902
real,train,high,39,4.3093498902635474e-07,1.511132450104924e-05,9.090103958442342e-08,0.00010384957568021491,0,1,1,100000,78.57662151753902
